Id,Label,PageRank,Betweenness
"ISLA DE LOS BUQUES SA","ISLA DE LOS BUQUES SA",1.86691552373688e-05,0
"PROMOTORA AFR DE VENEZUELA SA","PROMOTORA AFR DE VENEZUELA SA",1.86691552373688e-05,0
"OPEN DIGITAL SERVICES SL.","OPEN DIGITAL SERVICES SL.",1.86691552373688e-05,0
"SANTANDER ESPANA SERVICIOS LEGALES SL.","SANTANDER ESPANA SERVICIOS LEGALES SL.",1.86691552373688e-05,0
"SANTANDER GREEN INVESTMENT SL.","SANTANDER GREEN INVESTMENT SL.",1.86691552373688e-05,0
"SANTANDER HOLDING INTERNACIONAL SA","SANTANDER HOLDING INTERNACIONAL SA",1.86691552373688e-05,0
"BANCO SANTANDER PERU","BANCO SANTANDER PERU",1.86691552373688e-05,0
"MERCIVER SL","MERCIVER SL",1.86691552373688e-05,0
"TRESMARES SANTANDER DIRECT LENDING, SICC, SA.","TRESMARES SANTANDER DIRECT LENDING, SICC, SA.",1.86691552373688e-05,0
"GRUPO EMPRESARIAL SANTANDER SL","GRUPO EMPRESARIAL SANTANDER SL",1.86691552373688e-05,0
"SANTANDER CUSTOMER VOICE SA.","SANTANDER CUSTOMER VOICE SA.",1.86691552373688e-05,0
