Id,Label,PageRank
312,"FONET BRASIL S/A",1.86691552373688e-05
313,"BPP ASESORES S.A.U.",1.86691552373688e-05
314,"AURUM INVERSIONES LIMITADA",1.86691552373688e-05
315,"BZ WBK TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH SA",1.86691552373688e-05
316,"CANTABRIA EXPANSION FCR PYME.",1.86691552373688e-05
317,"EURO AUTOMATIC CASH ENTIDAD DE PAGO SL.",1.86691552373688e-05
318,"FORGEPOINT CAPITAL INTERNATIONAL MANAGEMENT LIMITED",1.86691552373688e-05
319,"NAVIERA CORCUBION AIE",1.86691552373688e-05
320,"PENINSULAR INVESTIMENTOS SA",1.86691552373688e-05
321,"S3 CACEIS BRASIL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.",1.86691552373688e-05
322,"SANTANDER TOWARZYSTWO FUNDUSZY INWESTYCYJNYCH S.A.",1.86691552373688e-05
323,"TEATINOS SIGLO XXI INVERSIONES S A",1.86691552373688e-05
324,"U C I SA",1.86691552373688e-05
325,"ELAIA AGRO SL.",1.86691552373688e-05
326,"MAPFRE SANTANDER PORTUGAL - COMPANHIA DE SEGUROS SA",1.86691552373688e-05
327,"OPERADORA DE ACTIVOS BETA SA DE CV",1.86691552373688e-05
328,"OPERADORA DE ACTIVOS ALFA SA DE CV",1.86691552373688e-05
329,"CNP SANTANDER INSURANCE EUROPE DESIGNATED ACTIVITY",1.86691552373688e-05
330,"CNP SANTANDER INSURANCE LIFE DESIGNATED ACTIVITY C",1.86691552373688e-05
331,"GLENROWAN SOLAR HOLDINGS PTY LTD",1.86691552373688e-05
332,"GLENROWAND SOLAR HOLDINGS PTY LTD",1.86691552373688e-05
333,"SANTANDER CONSUMER CHILE SA",1.86691552373688e-05
334,"ZURICH SANTANDER INSURANCE AMERICA SL.",1.86691552373688e-05
335,"SOCIEDAD CONJUNTA PARA LA EMISION Y GESTION DE MEDIOS DE PAGO EFC S.A.",1.86691552373688e-05
336,"LB OPRENT SA.",1.86691552373688e-05
337,"TRESMARES GROWTH FUND II SCR SA.",1.86691552373688e-05
338,"TRESMARES GROWTH FUND III SCR SA.",1.86691552373688e-05
339,"CONNECTING VISIONS ECOSYSTEMS SL.",1.86691552373688e-05
340,"ALCUTER 2 S.L.",1.86691552373688e-05
341,"SEPACON 31 SL.",1.86691552373688e-05
342,"AGUAS DE FUENSANTA SA",1.86691552373688e-05
343,"BANCO SANTANDER INTERNATIONAL SA",3.4539789964007e-05
344,"FRAUDFENSE SL.",1.86691552373688e-05
345,"FREMMAN LIMITED",1.86691552373688e-05
346,"METROVACESA, S.A. (NEW)",1.86691552373688e-05
347,"ALMA UK HOLDINGS LTD",1.86691552373688e-05
348,"INVENSA TRADECO UK LIMITED",1.86691552373688e-05
349,"GRUPO FINANCIERO VE POR MAS, S.A. DE C.V",1.86691552373688e-05
350,"SEAYA HOLDCO SL.",1.86691552373688e-05
351,"SOCIEDAD DE GARANTIA RECIPROCA DE SANTANDER, SG R",1.86691552373688e-05
352,"BANCO SANTANDER MEXICO, S.A., INSTITUCION DE BANCA",1.86691552373688e-05
353,"REDSYS SERVICIOS DE PROCESAMIENTO SL",1.86691552373688e-05
354,"COMPANIA ESPANOLA DE VIVIENDAS EN ALQUILER S.A.",1.86691552373688e-05
355,"COMPAÑIA ESPAÑOLA DE SEGUROS DE CREDITO A LA EXPORTACIÓN SA, COMPAÑIA DE SEGUROS Y REASEGUROS SA",1.86691552373688e-05
356,"SOCIEDAD DE GESTION DE ACTIVOS PROCEDENTES DE LA REESTRUCTURACION BANCARIA SOCIEDAD ANONIMA.",1.86691552373688e-05
357,"SANTANDER CHILE HOLDING S A",1.86691552373688e-05
358,"COMPANIA PARA LOS DESARROLLOS INMOBILIARIOS DE LA CIUDAD DE HISPALIS SL",1.86691552373688e-05
359,"BANCO DE ASUNCION S.A.",1.86691552373688e-05
360,"BANCO SANTANDER (MEXICO) SA INSTITUCIOPM DE BANCA",1.86691552373688e-05
361,"BIZUM SL.",1.86691552373688e-05
362,"SISTEMA DE TARJETAS Y MEDIOS DE PAGO SA.",1.86691552373688e-05
363,"COMPAÑIA ESPAÑOLA DE FINANCIACION DEL DESARROLLO COFIDES SA SME",1.86691552373688e-05
364,"MERLIN PROPERTIES SOCIMI , SA",1.86691552373688e-05
365,"CLOUDIT SL",1.86691552373688e-05
366,"PROMONTORIA MANZANA S.A.",1.86691552373688e-05
